Time,TC1,TC2,TC3,TC4,TC5,TC6,Power (1023 Max)
0,-0.08,-0.23,-0.51,-0.64,-0.76,-0.67,310
0.2,-0.08,-0.23,-0.51,-0.64,-0.76,-0.64,310
0.4,0.04,-0.28,-0.52,-0.6,-0.76,-0.73,310
0.6,0.48,-0.36,-0.51,-0.66,-0.76,-0.73,310
0.8,1.12,-0.22,-0.51,-0.63,-0.77,-0.73,310
1,2.25,0,-0.52,-0.63,-0.76,-0.7,310
1.2,3.32,0.3,-0.45,-0.67,-0.73,-0.66,310
1.4,4.31,0.51,-0.48,-0.67,-0.72,-0.66,310
1.6,5.34,0.88,-0.37,-0.6,-0.76,-0.66,310
1.8,6.57,1.43,-0.3,-0.64,-0.8,-0.76,310
2,7.62,1.94,-0.17,-0.52,-0.76,-0.71,310
2.2,8.59,2.38,0.04,-0.57,-0.76,-0.73,310
2.4,9.66,2.93,0.24,-0.48,-0.72,-0.72,310
2.6,10.82,3.53,0.45,-0.43,-0.71,-0.79,310
2.8,11.98,4.16,0.63,-0.36,-0.7,-0.71,310
3,12.82,4.7,0.88,-0.24,-0.71,-0.72,310
3.2,13.66,5.29,1.24,-0.12,-0.62,-0.67,310
3.4,14.92,5.8,1.45,-0.03,-0.64,-0.7,310
3.6,15.69,6.39,1.75,0.07,-0.53,-0.72,310
3.8,16.8,7.06,2.09,0.24,-0.53,-0.64,310
4,17.81,7.75,2.43,0.41,-0.45,-0.7,310
4.2,18.79,8.21,2.77,0.46,-0.43,-0.62,310
4.4,19.48,8.8,3.09,0.73,-0.3,-0.59,310
4.6,20.5,9.48,3.53,0.88,-0.3,-0.62,310
4.8,21.45,10.19,3.81,1.08,-0.16,-0.57,310
5,22.2,10.63,4.2,1.23,-0.04,-0.52,310
5.2,22.98,11.19,4.48,1.51,0,-0.56,310
5.4,23.92,11.88,4.79,1.67,0.12,-0.45,310
5.6,24.85,12.55,5.26,1.89,0.23,-0.4,310
5.8,25.52,13,5.6,2.06,0.34,-0.4,310
6,26.15,13.64,5.91,2.34,0.42,-0.34,310
6.2,27.09,14.18,6.41,2.55,0.55,-0.26,310
6.4,27.87,14.8,6.79,2.74,0.66,-0.23,310
6.6,28.53,15.26,7.05,3.03,0.79,-0.12,310
6.8,29.32,15.91,7.53,3.25,0.94,-0.08,310
7,29.99,16.31,7.89,3.46,1.09,-0.09,310
7.2,30.61,17,8.23,3.66,1.22,0.05,310
7.4,31.43,17.41,8.57,3.88,1.3,0.03,310
7.6,32.08,18.05,8.97,4.2,1.43,0.14,310
7.8,32.73,18.57,9.32,4.37,1.59,0.17,310
8,33.32,19.15,9.7,4.63,1.77,0.3,310
8.2,33.98,19.49,10.02,4.88,1.94,0.37,310
8.4,34.71,20,10.38,5.12,2,0.45,310
8.6,35.21,20.53,10.7,5.38,2.25,0.47,310
8.8,35.84,20.96,11.13,5.62,2.38,0.52,310
9,36.48,21.47,11.38,5.76,2.49,0.63,310
9.2,37.19,21.96,11.8,5.98,2.72,0.8,310
9.4,37.61,22.47,12.07,6.28,2.88,0.75,310
9.6,38.07,22.79,12.48,6.55,2.96,0.95,310
9.8,38.8,23.23,12.82,6.73,3.13,1,310
10,39.22,23.71,13.04,6.98,3.25,1.08,310
10.2,39.85,24.22,13.41,7.23,3.4,1.2,310
10.4,40.44,24.53,13.77,7.47,3.61,1.3,310
10.6,40.98,25.01,14.03,7.7,3.76,1.38,310
10.8,41.41,25.5,14.43,7.94,4.02,1.4,310
11,41.97,25.9,14.66,8.16,4.09,1.53,310
11.2,42.51,26.23,15.03,8.46,4.2,1.67,310
11.4,42.93,26.65,15.34,8.57,4.44,1.71,310
11.6,43.38,27.07,15.66,8.84,4.53,1.79,310
11.8,43.94,27.55,15.92,9.05,4.7,1.91,310
12,44.45,27.85,16.16,9.24,4.87,2.05,310
12.2,44.84,28.21,16.47,9.53,5.04,2.06,310
12.4,45.22,28.62,16.77,9.69,5.14,2.19,310
12.6,45.73,28.98,17.03,9.86,5.29,2.3,310
12.8,46.25,29.37,17.35,10.11,5.52,2.37,310
13,46.59,29.71,17.64,10.31,5.57,2.47,310
13.2,47.05,30.06,17.89,10.59,5.74,2.51,310
13.4,47.53,30.31,18.16,10.7,5.91,2.7,310
13.6,47.84,30.77,18.42,10.87,6.03,2.78,310
13.8,48.33,31.09,18.73,11.18,6.23,2.8,310
14,48.73,31.5,18.95,11.38,6.41,2.93,310
14.2,49.05,31.76,19.31,11.59,6.58,3.05,310
14.4,49.5,32.09,19.55,11.79,6.77,3.07,310
14.6,49.87,32.38,19.7,12.01,6.88,3.25,310
14.8,50.29,32.68,20,12.12,6.95,3.32,310
15,50.58,33.09,20.33,12.35,7.13,3.38,310
15.2,50.99,33.39,20.51,12.52,7.31,3.48,310
15.4,51.34,33.69,20.79,12.72,7.43,3.52,310
15.6,51.77,33.97,20.92,12.87,7.53,3.69,310
15.8,52.02,34.3,21.31,13.13,7.68,3.8,310
16,52.34,34.63,21.49,13.3,7.84,3.84,310
16.2,52.79,34.91,21.7,13.41,7.98,4,310
16.4,53.21,35.14,21.87,13.58,8.08,3.98,310
16.6,53.51,35.42,22.12,13.79,8.23,4.16,310
16.8,53.85,35.77,22.37,13.95,8.4,4.16,310
17,54.18,35.97,22.63,14.11,8.59,4.28,310
17.2,54.38,36.22,22.8,14.3,8.66,4.39,310
17.4,54.73,36.56,23.09,14.52,8.81,4.45,310
17.6,55.09,36.83,23.3,14.67,8.94,4.59,310
17.8,55.37,37.02,23.46,14.92,9.02,4.7,310
18,55.66,37.27,23.66,15.05,9.21,4.77,310
18.2,55.9,37.53,23.84,15.19,9.29,4.85,310
18.4,56.29,37.84,24.06,15.38,9.41,4.91,310
18.6,56.49,38.03,24.26,15.48,9.59,4.99,310
18.8,56.81,38.3,24.48,15.62,9.66,5.13,310
19,57.13,38.57,24.7,15.82,9.8,5.22,310
19.2,57.46,38.8,24.89,15.98,9.96,5.22,310
19.4,57.67,38.96,25.05,16.14,10.06,5.34,310
19.6,57.98,39.23,25.19,16.27,10.23,5.43,310
19.8,58.21,39.45,25.38,16.41,10.38,5.49,310
20,58.47,39.78,25.56,16.48,10.45,5.59,310
20.2,58.74,39.98,25.79,16.7,10.63,5.64,310
20.4,59.01,40.2,26.04,16.89,10.59,5.78,310
20.6,59.23,40.44,26.16,17.01,10.7,5.82,310
20.8,59.48,40.58,26.34,17.16,10.89,5.91,310
21,59.84,40.74,26.49,17.34,11,6.01,310
21.2,60.04,40.96,26.62,17.4,11.09,6.08,310
21.4,60.27,41.18,26.84,17.59,11.21,6.16,310
21.6,60.54,41.38,27.03,17.7,11.31,6.22,310
