Time,TC1,TC2,TC3,TC4,TC5,TC6,Power (1023 Max)
0,-0.02,-0.22,-0.28,-0.56,-0.41,-0.48,340
0.2,-0.02,-0.23,-0.3,-0.51,-0.49,-0.49,340
0.4,0.14,-0.23,-0.34,-0.45,-0.49,-0.49,340
0.6,0.73,-0.24,-0.32,-0.56,-0.48,-0.45,340
0.8,1.59,-0.18,-0.3,-0.48,-0.48,-0.52,340
1,2.22,-0.09,-0.28,-0.45,-0.43,-0.48,340
1.2,3.23,0.05,-0.28,-0.45,-0.49,-0.49,340
1.4,4.34,0.24,-0.26,-0.49,-0.48,-0.51,340
1.6,5.18,0.42,-0.23,-0.48,-0.51,-0.45,340
1.8,5.84,0.75,-0.22,-0.45,-0.49,-0.49,340
2,7.2,1.03,-0.11,-0.41,-0.49,-0.48,340
2.2,8.25,1.49,-0.03,-0.4,-0.45,-0.45,340
2.4,9.09,1.75,0.13,-0.43,-0.45,-0.49,340
2.6,10.04,2.19,0.23,-0.43,-0.48,-0.57,340
2.8,11,2.55,0.45,-0.37,-0.43,-0.51,340
3,11.72,2.96,0.55,-0.34,-0.51,-0.49,340
3.2,12.67,3.45,0.69,-0.3,-0.45,-0.49,340
3.4,13.64,3.89,0.89,-0.24,-0.4,-0.45,340
3.6,14.38,4.29,1.18,-0.2,-0.41,-0.45,340
3.8,15.21,4.64,1.3,-0.17,-0.36,-0.49,340
4,16.18,5.24,1.51,-0.09,-0.4,-0.48,340
4.2,17.09,5.59,1.84,0,-0.41,-0.45,340
4.4,17.7,6.04,2.06,0.03,-0.37,-0.48,340
4.6,18.42,6.6,2.3,0.12,-0.3,-0.45,340
4.8,19.4,6.91,2.58,0.23,-0.18,-0.43,340
5,20.02,7.48,2.78,0.37,-0.18,-0.49,340
5.2,20.82,7.96,2.99,0.38,-0.09,-0.4,340
5.4,21.59,8.35,3.38,0.54,-0.07,-0.38,340
5.6,22.3,8.8,3.66,0.66,-0.04,-0.37,340
5.8,22.84,9.33,3.88,0.8,0.03,-0.34,340
6,23.58,9.83,4.28,0.87,0.04,-0.37,340
6.2,24.4,10.16,4.5,1.09,0.17,-0.37,340
6.4,24.98,10.7,4.79,1.22,0.2,-0.34,340
6.6,25.57,11.12,5.02,1.28,0.23,-0.3,340
6.8,26.29,11.55,5.41,1.38,0.38,-0.28,340
7,26.83,11.92,5.64,1.67,0.41,-0.28,340
7.2,27.48,12.45,5.97,1.73,0.48,-0.18,340
7.4,28.07,12.83,6.28,1.89,0.61,-0.16,340
7.6,28.8,13.17,6.55,2.06,0.65,-0.12,340
7.8,29.23,13.68,6.84,2.16,0.75,-0.04,340
8,29.83,14.01,7.16,2.38,0.88,-0.07,340
8.2,30.33,14.5,7.43,2.51,0.98,0,340
8.4,31.07,14.8,7.73,2.62,1.03,-0.02,340
8.6,31.55,15.25,8.05,2.8,1.1,0.07,340
8.8,32.2,15.69,8.23,2.93,1.22,0.09,340
9,32.59,16.13,8.56,3.09,1.36,0.2,340
9.2,33.11,16.41,8.91,3.32,1.38,0.23,340
9.4,33.72,16.8,9.12,3.41,1.56,0.32,340
9.6,34.3,17.2,9.41,3.65,1.59,0.34,340
9.8,34.66,17.7,9.69,3.79,1.77,0.4,340
10,35.23,17.96,9.98,3.9,1.81,0.4,340
10.2,35.66,18.37,10.23,4.08,1.98,0.59,340
10.4,36.27,18.7,10.51,4.23,2.02,0.52,340
10.6,36.65,19.05,10.82,4.45,2.23,0.59,340
10.8,37.17,19.42,11.09,4.52,2.28,0.67,340
11,37.55,19.84,11.38,4.72,2.41,0.75,340
11.2,38.05,20.04,11.66,4.91,2.52,0.81,340
11.4,38.5,20.43,11.93,5.05,2.63,0.88,340
11.6,39,20.79,12.14,5.28,2.76,0.95,340
11.8,39.4,21.06,12.35,5.41,2.93,1,340
12,39.8,21.45,12.63,5.54,2.97,1.07,340
12.2,40.33,21.77,13,5.77,3.11,1.16,340
12.4,40.71,22.02,13.2,5.89,3.19,1.22,340
12.6,41.08,22.4,13.41,6.09,3.31,1.26,340
12.8,41.34,22.8,13.75,6.22,3.46,1.32,340
13,41.9,23.05,13.95,6.35,3.59,1.47,340
13.2,42.28,23.39,14.16,6.53,3.7,1.47,340
13.4,42.7,23.7,14.41,6.73,3.81,1.65,340
13.6,43.08,24.02,14.67,6.85,3.98,1.65,340
13.8,43.48,24.3,14.97,7.06,4.04,1.73,340
14,43.84,24.58,15.16,7.22,4.2,1.79,340
14.2,44.23,24.9,15.45,7.39,4.28,1.86,340
14.4,44.57,25.12,15.74,7.48,4.45,1.94,340
14.6,44.95,25.44,15.88,7.62,4.53,2.02,340
14.8,45.34,25.77,16.09,7.8,4.59,2.09,340
15,45.74,25.95,16.39,7.96,4.72,2.2,340
15.2,45.94,26.28,16.55,8.09,4.78,2.29,340
15.4,46.39,26.55,16.84,8.29,4.98,2.34,340
15.6,46.71,26.77,17.03,8.38,5.12,2.41,340
15.8,47.06,27.01,17.24,8.54,5.26,2.43,340
16,47.38,27.37,17.53,8.72,5.29,2.55,340
16.2,47.73,27.59,17.68,8.84,5.52,2.54,340
16.4,48.11,27.87,17.98,8.98,5.53,2.62,340
16.6,48.39,28.12,18.11,9.2,5.73,2.74,340
16.8,48.66,28.4,18.42,9.33,5.83,2.84,340
17,48.96,28.62,18.61,9.45,5.95,2.92,340
17.2,49.26,28.87,18.77,9.54,6.05,3.02,340
17.4,49.48,29.1,18.97,9.74,6.16,3.02,340
17.6,49.88,29.34,19.09,9.86,6.35,3.19,340
17.8,50.21,29.62,19.43,9.98,6.35,3.25,340
18,50.44,29.84,19.62,10.17,6.47,3.3,340
18.2,50.79,30.06,19.8,10.31,6.57,3.34,340
18.4,51.05,30.29,19.99,10.38,6.73,3.46,340
18.6,51.34,30.56,20.26,10.59,6.8,3.53,340
18.8,51.6,30.73,20.39,10.72,6.95,3.61,340
19,51.9,31.02,20.57,10.89,7.08,3.67,340
19.2,52.12,31.27,20.82,10.96,7.2,3.81,340
19.4,52.41,31.38,20.98,11.1,7.23,3.88,340
19.6,52.69,31.69,21.19,11.21,7.39,3.92,340
19.8,53,31.83,21.3,11.34,7.48,3.94,340
20,53.18,31.97,21.56,11.48,7.66,4.03,340
20.2,53.48,32.33,21.67,11.67,7.74,4.1,340
20.4,53.73,32.41,21.91,11.78,7.84,4.16,340
20.6,54.02,32.75,22.07,11.88,7.9,4.29,340
20.8,54.32,32.87,22.26,11.98,8.02,4.34,340
21,54.57,33.12,22.37,12.1,8.1,4.38,340
21.2,54.81,33.33,22.52,12.25,8.23,4.48,340
21.4,55.01,33.4,22.78,12.37,8.3,4.6,340
21.6,55.24,33.73,22.92,12.5,8.42,4.66,340
21.8,55.52,33.91,23.07,12.59,8.51,4.7,340
22,55.73,34.09,23.23,12.73,8.67,4.77,340
22.2,55.95,34.27,23.37,12.83,8.73,4.87,340
22.4,56.21,34.44,23.52,12.95,8.84,4.98,340
22.6,56.43,34.6,23.77,13.15,8.97,4.98,340
22.8,56.61,34.86,23.88,13.16,9.05,5.08,340
23,56.8,35.09,24.06,13.3,9.13,5.13,340
23.2,57.05,35.19,24.18,13.41,9.2,5.22,340
23.4,57.27,35.34,24.35,13.48,9.29,5.32,340
23.6,57.53,35.55,24.53,13.62,9.41,5.39,340
23.8,57.66,35.74,24.66,13.72,9.54,5.45,340
24,57.98,35.91,24.9,13.81,9.57,5.53,340
24.2,58.05,36.05,24.98,13.98,9.7,5.52,340
24.4,58.39,36.19,25.08,14.03,9.77,5.68,340
24.6,58.59,36.38,25.23,14.18,9.89,5.7,340
