Time,TC1,TC2,TC3,TC4,TC5,TC6,Power (1023 Max)
0,0.27,0,-0.11,-0.3,-0.36,-0.38,340
0.2,0.34,-0.04,-0.11,-0.26,-0.32,-0.34,340
0.4,0.67,0,-0.08,-0.3,-0.34,-0.41,340
0.6,1.4,0.03,-0.15,-0.34,-0.28,-0.38,340
0.8,2.34,0.04,-0.09,-0.28,-0.32,-0.36,340
1,2.88,0.05,-0.08,-0.34,-0.34,-0.4,340
1.2,4.06,0.3,-0.11,-0.34,-0.34,-0.37,340
1.4,5.08,0.6,-0.03,-0.32,-0.3,-0.37,340
1.6,5.91,0.81,0.02,-0.34,-0.34,-0.36,340
1.8,7.02,1.16,0.1,-0.3,-0.3,-0.34,340
2,7.96,1.46,0.13,-0.32,-0.34,-0.37,340
2.2,9.01,1.73,0.2,-0.32,-0.37,-0.45,340
2.4,9.8,2.22,0.34,-0.23,-0.34,-0.34,340
2.6,10.85,2.64,0.54,-0.3,-0.28,-0.36,340
2.8,11.67,2.93,0.61,-0.22,-0.3,-0.4,340
3,12.46,3.41,0.84,-0.16,-0.32,-0.37,340
3.2,13.42,3.81,1,-0.18,-0.28,-0.38,340
3.4,14.37,4.22,1.24,-0.15,-0.32,-0.36,340
3.6,15.04,4.77,1.45,-0.09,-0.24,-0.38,340
3.8,15.92,5.14,1.65,0.05,-0.28,-0.4,340
4,16.84,5.73,1.89,0.02,-0.2,-0.38,340
4.2,17.7,6.08,2.15,0.17,-0.2,-0.3,340
4.4,18.37,6.57,2.38,0.27,-0.12,-0.37,340
4.6,19.04,6.93,2.64,0.34,-0.08,-0.3,340
4.8,20,7.48,2.86,0.45,-0.02,-0.3,340
5,20.66,7.9,3.19,0.51,-0.09,-0.28,340
5.2,21.44,8.44,3.45,0.66,-0.02,-0.28,340
5.4,22.16,8.78,3.7,0.77,0.07,-0.3,340
5.6,22.98,9.22,4.02,0.93,0.13,-0.23,340
5.8,23.46,9.79,4.25,1.02,0.18,-0.26,340
6,24.22,10.16,4.53,1.1,0.23,-0.2,340
6.2,24.98,10.63,4.85,1.3,0.34,-0.2,340
6.4,25.48,11.1,5.16,1.36,0.34,-0.12,340
6.6,26.11,11.55,5.35,1.52,0.46,-0.15,340
6.8,26.83,11.92,5.59,1.66,0.47,-0.15,340
7,27.34,12.35,6.01,1.84,0.6,-0.12,340
7.2,28,12.77,6.26,1.92,0.69,-0.02,340
7.4,28.58,13.21,6.49,2.12,0.73,-0.07,340
7.6,29.24,13.66,6.88,2.29,0.93,0,340
7.8,29.74,14.15,7.16,2.41,0.94,0.09,340
8,30.45,14.45,7.49,2.55,1.02,0.12,340
8.2,31.02,14.91,7.73,2.68,1.16,0.13,340
8.4,31.57,15.27,8.02,2.83,1.24,0.17,340
8.6,32.03,15.64,8.27,2.96,1.32,0.2,340
8.8,32.63,16.07,8.59,3.17,1.4,0.24,340
9,33.19,16.45,8.88,3.38,1.49,0.38,340
9.2,33.49,16.77,9.16,3.48,1.59,0.38,340
9.4,34.14,17.23,9.49,3.66,1.66,0.41,340
9.6,34.73,17.62,9.7,3.81,1.8,0.42,340
9.8,35.09,17.98,9.98,4.06,1.92,0.52,340
10,35.71,18.37,10.29,4.18,2,0.59,340
10.2,36.17,18.66,10.55,4.35,2.14,0.61,340
10.4,36.65,19.12,10.82,4.49,2.22,0.69,340
10.6,37.1,19.43,11.1,4.59,2.35,0.77,340
10.8,37.6,19.84,11.43,4.79,2.43,0.88,340
11,37.94,20.1,11.67,4.98,2.62,0.84,340
11.2,38.39,20.37,11.92,5.08,2.7,0.95,340
11.4,38.95,20.77,12.12,5.22,2.86,1.07,340
11.6,39.41,21.16,12.52,5.47,2.88,1.1,340
11.8,39.77,21.49,12.69,5.66,3.07,1.12,340
12,40.13,21.83,12.95,5.82,3.2,1.2,340
12.2,40.67,22.14,13.23,5.95,3.27,1.28,340
12.4,41.1,22.34,13.55,6.16,3.42,1.3,340
12.6,41.45,22.73,13.74,6.22,3.51,1.45,340
12.8,41.92,23.05,14.01,6.47,3.6,1.53,340
13,42.27,23.39,14.23,6.63,3.75,1.52,340
13.2,42.63,23.62,14.43,6.79,3.88,1.59,340
13.4,43.02,23.97,14.66,6.8,3.97,1.66,340
13.6,43.5,24.22,15.03,7.02,4.08,1.75,340
13.8,43.82,24.52,15.16,7.23,4.22,1.84,340
14,44.13,24.87,15.43,7.37,4.34,1.88,340
14.2,44.52,25.14,15.68,7.54,4.43,1.98,340
14.4,44.93,25.45,15.91,7.66,4.5,1.98,340
14.6,45.24,25.7,16.14,7.88,4.7,2.13,340
14.8,45.62,26,16.35,7.9,4.77,2.22,340
15,46.05,26.24,16.55,8.1,4.91,2.23,340
15.2,46.33,26.52,16.83,8.35,5.04,2.33,340
15.4,46.67,26.87,17,8.38,5.16,2.43,340
15.6,46.95,27.1,17.3,8.63,5.29,2.52,340
15.8,47.41,27.34,17.48,8.67,5.41,2.55,340
16,47.63,27.66,17.74,8.91,5.48,2.6,340
16.2,48.03,27.8,17.85,9.05,5.55,2.76,340
16.4,48.34,28.15,18.2,9.2,5.77,2.76,340
16.6,48.63,28.46,18.42,9.33,5.84,2.93,340
16.8,48.98,28.69,18.52,9.47,6.01,2.96,340
17,49.3,28.87,18.88,9.66,6.08,3.05,340
17.2,49.67,29.1,19.08,9.81,6.18,3.12,340
17.4,49.86,29.34,19.25,9.95,6.24,3.2,340
17.6,50.18,29.52,19.43,10.02,6.45,3.21,340
17.8,50.48,29.87,19.62,10.19,6.57,3.27,340
18,50.76,30.12,19.84,10.36,6.6,3.48,340
18.2,51.06,30.3,19.98,10.52,6.73,3.52,340
18.4,51.36,30.61,20.17,10.59,6.91,3.6,340
