Time,TC1,TC2,TC3,TC4,TC5,TC6,Power (1023 Max)
0,0.24,0.18,0.04,0.05,0.02,0.03,310
0.2,0.18,0.14,0,0.02,-0.03,0,310
0.4,0.34,0.2,0.05,0.03,-0.02,0.03,310
0.6,1.1,0.17,0.07,0.05,0.03,0.07,310
0.8,1.84,0.28,0.02,0,-0.07,0.02,310
1,2.96,0.47,0.09,0.07,-0.02,0.03,310
1.2,4,0.81,0.13,0.02,-0.03,0.02,310
1.4,5.2,1.18,0.1,0,-0.02,-0.03,310
1.6,6.05,1.71,0.24,0.03,0.03,0.03,310
1.8,7.31,2.05,0.4,0.1,0.02,0.02,310
2,8.19,2.51,0.55,0.07,0,-0.03,310
2.2,9.55,3.16,0.73,0.17,0,0.04,310
2.4,10.48,3.73,0.97,0.24,0.02,0.04,310
2.6,11.65,4.2,1.22,0.27,0.04,0.09,310
2.8,12.73,4.83,1.42,0.4,0.04,0.07,310
3,13.83,5.43,1.57,0.48,0.1,0.02,310
3.2,14.67,6.04,1.98,0.59,0.09,0.04,310
3.4,15.69,6.6,2.25,0.7,0.14,0.05,310
3.6,16.73,7.28,2.54,0.88,0.18,0.07,310
3.8,17.53,7.8,2.93,0.95,0.23,0.05,310
4,18.55,8.5,3.19,1.18,0.26,0.13,310
4.2,19.45,8.98,3.59,1.33,0.4,0.14,310
4.4,20.26,9.69,3.92,1.59,0.45,0.18,310
4.6,21.27,10.38,4.23,1.63,0.59,0.2,310
4.8,22.03,10.76,4.64,1.89,0.65,0.23,310
5,23.02,11.47,4.97,2.09,0.75,0.2,310
5.2,23.69,12.1,5.41,2.25,0.84,0.26,310
5.4,24.62,12.74,5.66,2.41,0.93,0.3,310
5.6,25.41,13.21,6.12,2.7,0.98,0.45,310
5.8,26.27,13.79,6.38,2.88,1.16,0.41,310
6,26.9,14.38,6.7,3.07,1.26,0.38,310
6.2,27.76,14.84,7.18,3.38,1.38,0.51,310
6.4,28.55,15.52,7.6,3.56,1.52,0.56,310
6.6,28.97,16.01,7.91,3.75,1.63,0.59,310
6.8,29.9,16.63,8.23,3.98,1.75,0.65,310
7,30.63,17.13,8.67,4.28,1.95,0.7,310
7.2,31.22,17.73,9.09,4.49,2.05,0.8,310
7.4,31.96,18.25,9.32,4.7,2.14,0.9,310
7.6,32.7,18.82,9.66,5.01,2.28,0.93,310
7.8,33.39,19.18,10.15,5.2,2.45,1,310
8,33.86,19.76,10.38,5.48,2.58,1.09,310
8.2,34.63,20.31,10.89,5.7,2.72,1.16,310
8.4,35.13,20.77,11.27,5.91,2.9,1.23,310
8.6,35.91,21.25,11.59,6.16,3.07,1.28,310
8.8,36.36,21.66,11.86,6.37,3.17,1.37,310
9,37.04,22.2,12.22,6.66,3.34,1.46,310
9.2,37.7,22.56,12.5,6.87,3.51,1.53,310
9.4,38.23,23.05,12.87,7.06,3.61,1.59,310
9.6,38.71,23.5,13.21,7.35,3.89,1.73,310
9.8,39.33,23.98,13.58,7.6,4.03,1.73,310
10,39.95,24.4,13.83,7.87,4.16,1.91,310
10.2,40.37,24.71,14.15,8.02,4.3,1.98,310
10.4,40.87,25.34,14.52,8.25,4.43,2.06,310
10.6,41.45,25.77,14.84,8.5,4.6,2.14,310
10.8,41.85,26.1,15.16,8.77,4.7,2.25,310
11,42.42,26.51,15.52,8.95,4.98,2.29,310
11.2,42.91,26.95,15.64,9.11,5.13,2.43,310
11.4,43.46,27.3,16.07,9.38,5.27,2.49,310
11.6,43.84,27.7,16.4,9.66,5.33,2.64,310
11.8,44.34,28.08,16.7,9.79,5.52,2.7,310
12,44.89,28.4,17.01,10.11,5.73,2.8,310
12.2,45.28,28.94,17.2,10.29,5.78,2.84,310
12.4,45.66,29.2,17.55,10.45,6.02,2.97,310
12.6,46.18,29.58,17.77,10.7,6.18,3.09,310
12.8,46.69,30.05,18.07,10.96,6.32,3.16,310
13,47.09,30.37,18.36,11.14,6.45,3.26,310
13.2,47.5,30.72,18.69,11.32,6.6,3.38,310
13.4,47.9,31.09,18.84,11.51,6.78,3.4,310
13.6,48.34,31.38,19.1,11.81,6.88,3.52,310
13.8,48.68,31.68,19.36,11.88,7.12,3.61,310
14,49.14,31.99,19.7,12.1,7.18,3.66,310
14.2,49.54,32.36,20,12.34,7.34,3.82,310
14.4,49.77,32.74,20.27,12.52,7.5,3.95,310
14.6,50.24,33.01,20.39,12.7,7.69,3.98,310
14.8,50.6,33.33,20.75,12.95,7.77,4.08,310
15,50.99,33.69,20.97,13.09,7.81,4.18,310
15.2,51.32,33.98,21.19,13.23,8.13,4.25,310
15.4,51.66,34.19,21.43,13.49,8.29,4.41,310
15.6,52.05,34.54,21.73,13.68,8.35,4.39,310
15.8,52.41,34.82,21.91,13.83,8.56,4.52,310
16,52.76,35.19,22.07,14.03,8.63,4.64,310
16.2,53.11,35.35,22.4,14.17,8.81,4.77,310
16.4,53.55,35.68,22.66,14.37,8.94,4.87,310
16.6,53.81,35.91,22.83,14.52,9.05,4.91,310
16.8,54.07,36.19,22.92,14.76,9.21,4.99,310
17,54.42,36.45,23.26,14.89,9.32,5.1,310
17.2,54.7,36.77,23.46,15.08,9.45,5.2,310
17.4,55.01,37.08,23.69,15.17,9.55,5.27,310
17.6,55.31,37.27,23.86,15.31,9.73,5.33,310
17.8,55.7,37.52,24.05,15.54,9.94,5.43,310
18,55.89,37.84,24.26,15.74,10,5.48,310
18.2,56.26,37.98,24.49,15.96,10.06,5.59,310
18.4,56.57,38.2,24.65,16.05,10.25,5.64,310
18.6,56.9,38.51,24.89,16.14,10.42,5.78,310
18.8,57.05,38.74,25.12,16.31,10.46,5.82,310
19,57.36,39,25.32,16.53,10.57,5.95,310
19.2,57.72,39.22,25.49,16.66,10.7,6.01,310
19.4,57.95,39.46,25.68,16.83,10.83,6.12,310
