Time,TC1,TC2,TC3,TC4,TC5,TC6,Power (1023 Max)
0,0.2,-0.17,-0.36,-0.63,-0.67,-0.79,230
0.2,0.18,-0.18,-0.36,-0.71,-0.67,-0.81,230
0.4,0.47,-0.16,-0.36,-0.66,-0.66,-0.8,230
0.6,0.98,-0.12,-0.37,-0.76,-0.72,-0.73,230
0.8,1.45,-0.09,-0.37,-0.67,-0.7,-0.79,230
1,2.09,-0.07,-0.41,-0.63,-0.64,-0.81,230
1.2,2.84,0.04,-0.32,-0.72,-0.7,-0.77,230
1.4,3.48,0.17,-0.28,-0.67,-0.64,-0.71,230
1.6,4.02,0.34,-0.3,-0.7,-0.67,-0.79,230
1.8,4.72,0.52,-0.3,-0.67,-0.7,-0.8,230
2,5.2,0.84,-0.22,-0.64,-0.67,-0.76,230
2.2,5.8,1.03,-0.11,-0.66,-0.67,-0.8,230
2.4,6.66,1.3,-0.02,-0.66,-0.7,-0.79,230
2.6,7.39,1.53,0.02,-0.64,-0.66,-0.77,230
2.8,7.87,1.85,0.18,-0.64,-0.72,-0.79,230
3,8.57,2.09,0.32,-0.56,-0.7,-0.73,230
3.2,9.21,2.51,0.42,-0.57,-0.67,-0.77,230
3.4,9.83,2.66,0.48,-0.51,-0.7,-0.79,230
3.6,10.35,3.05,0.69,-0.49,-0.64,-0.76,230
3.8,10.91,3.34,0.81,-0.45,-0.67,-0.8,230
4,11.45,3.61,0.98,-0.37,-0.64,-0.79,230
4.2,11.98,3.97,1.16,-0.43,-0.64,-0.77,230
4.4,12.56,4.28,1.37,-0.3,-0.63,-0.79,230
4.6,13.21,4.64,1.51,-0.23,-0.6,-0.79,230
4.8,13.62,4.95,1.65,-0.2,-0.52,-0.84,230
5,14.06,5.32,1.84,-0.11,-0.51,-0.76,230
5.2,14.67,5.59,2.08,0.03,-0.43,-0.79,230
5.4,15.26,5.84,2.2,0.09,-0.41,-0.76,230
5.6,15.66,6.3,2.45,0.13,-0.41,-0.73,230
5.8,16.18,6.6,2.7,0.24,-0.37,-0.72,230
6,16.7,6.93,2.86,0.27,-0.3,-0.7,230
6.2,17.07,7.25,3.07,0.42,-0.24,-0.64,230
6.4,17.67,7.63,3.27,0.56,-0.24,-0.66,230
6.6,18.12,7.88,3.48,0.65,-0.17,-0.63,230
6.8,18.55,8.19,3.69,0.73,-0.09,-0.6,230
7,18.97,8.57,3.94,0.83,-0.07,-0.6,230
7.2,19.43,8.73,4.12,0.94,-0.02,-0.62,230
7.4,19.93,9.18,4.3,1.03,0.07,-0.59,230
7.6,20.27,9.47,4.58,1.08,0.12,-0.57,230
7.8,20.67,9.74,4.77,1.3,0.17,-0.51,230
8,21.1,10.13,4.99,1.37,0.23,-0.43,230
8.2,21.5,10.36,5.2,1.47,0.28,-0.4,230
8.4,21.92,10.68,5.34,1.59,0.41,-0.41,230
8.6,22.31,10.93,5.6,1.71,0.47,-0.37,230
8.8,22.72,11.3,5.89,1.85,0.56,-0.4,230
9,23.07,11.55,6.02,1.92,0.6,-0.3,230
9.2,23.51,11.84,6.26,2.08,0.67,-0.24,230
9.4,23.91,12.1,6.41,2.22,0.79,-0.24,230
9.6,24.29,12.41,6.7,2.37,0.87,-0.18,230
9.8,24.59,12.67,6.85,2.45,0.98,-0.09,230
10,24.98,12.95,7.08,2.55,1.03,-0.04,230
10.2,25.23,13.27,7.27,2.77,1.12,-0.08,230
10.4,25.7,13.51,7.55,2.77,1.14,0,230
10.6,26.08,13.83,7.77,2.92,1.28,0.07,230
10.8,26.44,14.11,7.91,2.99,1.37,0.14,230
11,26.73,14.3,8.21,3.2,1.46,0.13,230
11.2,27.09,14.59,8.38,3.34,1.56,0.2,230
11.4,27.41,14.89,8.63,3.52,1.65,0.26,230
11.6,27.75,15.06,8.8,3.61,1.73,0.26,230
11.8,28.09,15.34,8.98,3.73,1.84,0.34,230
12,28.42,15.68,9.15,3.88,1.95,0.4,230
12.2,28.67,15.96,9.38,3.98,1.95,0.45,230
12.4,29,16.18,9.66,4.12,2.13,0.51,230
12.6,29.34,16.45,9.79,4.23,2.2,0.6,230
12.8,29.66,16.73,9.96,4.38,2.29,0.65,230
13,29.87,16.87,10.21,4.55,2.43,0.7,230
13.2,30.2,17.14,10.38,4.66,2.47,0.7,230
13.4,30.59,17.44,10.57,4.78,2.58,0.81,230
13.6,30.86,17.68,10.83,4.88,2.7,0.87,230
13.8,31.12,17.8,10.96,5.07,2.78,0.95,230
14,31.48,18.05,11.16,5.22,2.88,1.02,230
14.2,31.7,18.3,11.38,5.28,2.97,1.08,230
14.4,31.97,18.52,11.53,5.34,3.13,1.12,230
14.6,32.27,18.73,11.72,5.52,3.13,1.16,230
14.8,32.59,18.96,11.97,5.66,3.3,1.24,230
15,32.8,19.23,12.12,5.82,3.32,1.26,230
15.2,33.14,19.42,12.29,5.95,3.48,1.32,230
15.4,33.44,19.62,12.48,6.03,3.55,1.42,230
15.6,33.72,19.91,12.63,6.2,3.69,1.45,230
15.8,33.91,20.12,12.88,6.33,3.76,1.56,230
16,34.16,20.35,13.02,6.38,3.82,1.57,230
16.2,34.45,20.52,13.21,6.58,4,1.66,230
16.4,34.63,20.73,13.38,6.64,4.06,1.71,230
16.6,34.91,20.92,13.49,6.74,4.14,1.77,230
16.8,35.2,21.1,13.7,6.91,4.18,1.86,230
17,35.45,21.31,13.81,7.02,4.3,1.85,230
17.2,35.7,21.58,14.05,7.18,4.48,1.92,230
17.4,35.93,21.62,14.24,7.28,4.5,2.08,230
17.6,36.19,21.94,14.38,7.39,4.66,2.15,230
17.8,36.42,22.12,14.59,7.5,4.77,2.23,230
18,36.64,22.37,14.73,7.55,4.79,2.28,230
18.2,36.88,22.5,14.93,7.69,4.93,2.3,230
18.4,37.08,22.76,15.03,7.84,5.02,2.35,230
18.6,37.32,22.92,15.21,7.98,5.1,2.43,230
18.8,37.6,23.12,15.38,8.09,5.18,2.51,230
19,37.8,23.3,15.57,8.16,5.34,2.62,230
19.2,38.01,23.48,15.69,8.38,5.38,2.68,230
19.4,38.23,23.63,15.81,8.38,5.52,2.76,230
19.6,38.41,23.86,15.96,8.59,5.63,2.8,230
19.8,38.72,24.06,16.16,8.7,5.7,2.86,230
20,38.91,24.18,16.35,8.76,5.78,2.9,230
20.2,39.09,24.35,16.46,8.84,5.88,2.93,230
20.4,39.35,24.53,16.66,8.97,5.91,3.03,230
20.6,39.52,24.66,16.8,9.12,6.02,3.07,230
20.8,39.74,24.89,16.89,9.18,6.1,3.17,230
21,39.96,25.01,17.09,9.32,6.24,3.3,230
21.2,40.16,25.21,17.22,9.41,6.29,3.34,230
21.4,40.35,25.36,17.37,9.54,6.39,3.45,230
21.6,40.55,25.61,17.5,9.68,6.52,3.42,230
21.8,40.73,25.75,17.64,9.75,6.58,3.48,230
22,40.95,25.88,17.8,9.86,6.74,3.55,230
22.2,41.09,26.02,17.91,9.96,6.77,3.59,230
22.4,41.27,26.2,18.16,10.09,6.91,3.69,230
22.6,41.46,26.37,18.29,10.16,6.95,3.76,230
22.8,41.7,26.54,18.36,10.23,7.04,3.81,230
23,41.91,26.7,18.55,10.36,7.14,3.89,230
23.2,42.02,26.8,18.62,10.45,7.16,3.98,230
23.4,42.21,26.99,18.77,10.46,7.33,4.06,230
23.6,42.38,27.16,18.82,10.63,7.41,4.1,230
23.8,42.66,27.23,19.04,10.77,7.5,4.1,230
24,42.8,27.5,19.23,10.91,7.56,4.2,230
24.2,42.91,27.62,19.34,10.98,7.6,4.31,230
24.4,43.06,27.72,19.48,11.1,7.75,4.3,230
24.6,43.28,27.89,19.58,11.14,7.84,4.35,230
24.8,43.46,28.05,19.76,11.27,7.94,4.53,230
25,43.7,28.15,19.84,11.34,7.95,4.5,230
25.2,43.81,28.33,19.99,11.45,8.08,4.59,230
