Time,TC1,TC2,TC3,TC4,TC5,TC6,Power (1023 Max)
0,0.3,0.09,0.02,-0.11,-0.12,-0.09,230
0.2,0.23,0.07,0.05,-0.08,-0.11,-0.11,230
0.4,0.48,0.04,0,-0.11,-0.09,-0.15,230
0.6,0.97,0.1,0.03,-0.15,-0.15,-0.12,230
0.8,1.51,0.2,0.05,-0.12,-0.09,-0.11,230
1,2.16,0.2,0.03,-0.08,-0.08,-0.16,230
1.2,2.76,0.34,-0.02,-0.08,-0.08,-0.08,230
1.4,3.3,0.51,0.1,-0.16,-0.07,-0.08,230
1.6,4.03,0.67,0.1,-0.09,-0.12,-0.17,230
1.8,4.78,0.87,0.17,-0.09,-0.08,-0.08,230
2,5.39,1.04,0.17,-0.09,-0.07,-0.11,230
2.2,5.98,1.28,0.24,-0.15,-0.07,-0.08,230
2.4,6.66,1.57,0.32,-0.07,-0.11,-0.16,230
2.6,7.41,1.84,0.41,-0.07,-0.09,-0.09,230
2.8,7.9,2.13,0.55,-0.03,-0.04,-0.09,230
3,8.5,2.3,0.66,0,-0.04,-0.15,230
3.2,9.11,2.72,0.75,0.02,-0.07,-0.07,230
3.4,9.66,2.97,0.89,0.03,0,-0.15,230
3.6,10.23,3.26,1.03,0.09,-0.02,-0.08,230
3.8,10.72,3.65,1.2,0.13,0,-0.09,230
4,11.47,3.82,1.38,0.17,0.02,-0.08,230
4.2,11.92,4.18,1.57,0.24,0,-0.09,230
4.4,12.54,4.53,1.73,0.3,-0.03,-0.03,230
4.6,13.08,4.77,1.81,0.27,0.03,-0.04,230
4.8,13.42,5.12,2.02,0.45,0.07,-0.04,230
5,14.01,5.45,2.29,0.48,0.1,-0.04,230
5.2,14.58,5.8,2.37,0.55,0.07,-0.03,230
5.4,14.93,6.09,2.6,0.61,0.17,-0.04,230
5.6,15.47,6.41,2.76,0.81,0.26,-0.02,230
5.8,15.99,6.66,2.99,0.79,0.27,0,230
6,16.48,6.95,3.11,0.84,0.27,0.03,230
6.2,16.87,7.28,3.31,0.94,0.34,0.03,230
6.4,17.37,7.62,3.55,1.07,0.46,0.07,230
6.6,17.77,7.81,3.75,1.14,0.42,0.1,230
6.8,18.24,8.17,3.95,1.3,0.42,0.09,230
7,18.57,8.48,4.14,1.4,0.56,0.12,230
7.2,19.1,8.67,4.29,1.49,0.59,0.12,230
7.4,19.37,9.09,4.5,1.56,0.63,0.17,230
7.6,19.87,9.32,4.72,1.59,0.73,0.18,230
7.8,20.24,9.55,4.99,1.71,0.77,0.2,230
8,20.63,9.89,5.13,1.85,0.83,0.2,230
8.2,20.98,10.17,5.33,1.95,0.89,0.24,230
8.4,21.27,10.41,5.52,2.12,0.95,0.27,230
8.6,21.8,10.72,5.77,2.23,1.02,0.32,230
8.8,22.2,10.99,5.97,2.22,1.12,0.34,230
9,22.49,11.19,6.05,2.35,1.18,0.38,230
9.2,22.87,11.52,6.29,2.55,1.18,0.45,230
9.4,23.3,11.72,6.51,2.63,1.33,0.46,230
9.6,23.53,12.05,6.63,2.74,1.37,0.46,230
9.8,23.88,12.25,6.85,2.86,1.46,0.54,230
10,24.24,12.54,7.06,2.96,1.47,0.56,230
10.2,24.52,12.8,7.29,3.05,1.63,0.59,230
10.4,24.95,12.95,7.41,3.13,1.7,0.65,230
10.6,25.23,13.17,7.66,3.23,1.79,0.66,230
10.8,25.52,13.55,7.8,3.32,1.88,0.79,230
