Time,TC1,TC2,TC3,TC4,TC5,TC6,Power (1023 Max)
0,0.37,0.47,0.45,0.59,0.63,0.61,150
0.2,0.34,0.48,0.46,0.51,0.59,0.73,150
0.4,0.37,0.45,0.46,0.55,0.54,0.6,150
0.6,0.46,0.47,0.47,0.56,0.56,0.66,150
0.8,0.54,0.41,0.45,0.48,0.56,0.63,150
1,0.61,0.46,0.48,0.59,0.56,0.65,150
1.2,0.87,0.45,0.51,0.52,0.55,0.65,150
1.4,1.09,0.48,0.46,0.54,0.52,0.63,150
1.6,1.22,0.47,0.48,0.56,0.55,0.73,150
1.8,1.42,0.42,0.45,0.54,0.6,0.7,150
2,1.66,0.47,0.46,0.48,0.48,0.63,150
2.2,1.91,0.45,0.47,0.54,0.59,0.7,150
2.4,2.06,0.51,0.45,0.54,0.56,0.63,150
2.6,2.37,0.47,0.47,0.56,0.54,0.66,150
2.8,2.51,0.45,0.47,0.54,0.61,0.63,150
3,2.77,0.59,0.46,0.54,0.61,0.63,150
3.2,2.92,0.55,0.48,0.6,0.6,0.65,150
3.4,3.16,0.59,0.46,0.47,0.65,0.67,150
3.6,3.34,0.61,0.52,0.51,0.56,0.63,150
3.8,3.51,0.6,0.45,0.55,0.52,0.67,150
4,3.7,0.65,0.45,0.59,0.61,0.65,150
4.2,3.97,0.67,0.48,0.54,0.54,0.67,150
4.4,4.12,0.73,0.47,0.52,0.66,0.63,150
4.6,4.3,0.75,0.52,0.54,0.63,0.66,150
4.8,4.48,0.77,0.52,0.56,0.56,0.66,150
5,4.72,0.84,0.51,0.54,0.55,0.65,150
5.2,4.83,0.84,0.47,0.56,0.59,0.66,150
5.4,5.04,0.95,0.48,0.48,0.55,0.65,150
5.6,5.18,0.97,0.52,0.55,0.56,0.66,150
5.8,5.38,1.04,0.51,0.55,0.56,0.65,150
6,5.49,1.07,0.48,0.56,0.54,0.66,150
6.2,5.74,1.16,0.54,0.54,0.59,0.66,150
6.4,5.95,1.22,0.48,0.54,0.59,0.61,150
6.6,6.02,1.28,0.55,0.54,0.59,0.63,150
6.8,6.2,1.3,0.54,0.54,0.56,0.65,150
7,6.3,1.33,0.59,0.55,0.52,0.66,150
7.2,6.45,1.38,0.55,0.55,0.59,0.6,150
7.4,6.59,1.49,0.6,0.52,0.54,0.66,150
7.6,6.78,1.57,0.55,0.55,0.55,0.61,150
7.8,6.98,1.67,0.55,0.59,0.55,0.63,150
8,7.13,1.7,0.59,0.52,0.59,0.61,150
8.2,7.18,1.71,0.54,0.55,0.59,0.67,150
8.4,7.41,1.75,0.6,0.55,0.6,0.61,150
8.6,7.54,1.85,0.61,0.59,0.56,0.6,150
8.8,7.63,1.91,0.63,0.6,0.6,0.7,150
9,7.8,1.98,0.67,0.59,0.59,0.67,150
9.2,7.95,2.05,0.67,0.55,0.6,0.61,150
9.4,8.09,2.13,0.65,0.55,0.51,0.65,150
9.6,8.19,2.19,0.79,0.56,0.59,0.63,150
9.8,8.4,2.28,0.75,0.65,0.54,0.6,150
10,8.51,2.3,0.69,0.52,0.59,0.61,150
10.2,8.63,2.41,0.77,0.56,0.56,0.65,150
10.4,8.72,2.45,0.77,0.51,0.55,0.61,150
10.6,8.86,2.52,0.77,0.6,0.6,0.61,150
10.8,8.97,2.6,0.75,0.59,0.6,0.67,150
11,9.16,2.66,0.77,0.56,0.59,0.59,150
11.2,9.28,2.68,0.83,0.6,0.59,0.63,150
11.4,9.41,2.82,0.88,0.65,0.56,0.61,150
11.6,9.52,2.9,0.89,0.59,0.56,0.63,150
11.8,9.6,2.92,0.87,0.6,0.56,0.67,150
